event_id,issuer,ticker,event_category,sector,event_timestamp_et,release_session,primary_source_reference,timestamp_source_reference,event_fact_summary,materiality_reason,entry_rule,entry_timestamp_et,timestamp_verification_status,accepted_primary_sample,exclusion_reason,outcome_fields_present
E2-PYPL-20220201,PayPal Holdings,PYPL,E2_Earnings_Guidance_Reset,Information Technology,2022-02-01 16:16:00 EST,AFTER_HOURS,https://newsroom.paypal-corp.com/2022-02-01-PayPal-Reports-Fourth-Quarter-and-Full-Year-2021-Results,https://www.prnewswire.com/search/news/?keyword=PayPal%20February%201%202022%20results,"PayPal reported Q4 and FY2021 results with a materially slower 2022 growth outlook and a shift away from its prior user-growth target framework.","The release reset long-term growth assumptions for a large payments platform and required re-underwriting user growth, revenue and margin expectations.",AFTER_HOURS_NEXT_TRADING_DAY_1000_ET,2022-02-02 10:00:00 EST,VERIFIED_PRIMARY_PLUS_PRNEWSWIRE_TIME,PENDING_QC_LIQUIDITY_AND_DUPLICATE_AUDIT,,false
E2-UPS-20240723,United Parcel Service,UPS,E2_Earnings_Guidance_Reset,Industrials,2024-07-23 06:00:00 EDT,PREMARKET,https://investors.ups.com/news-events/press-releases/detail/2127/ups-releases-2q-2024-earnings,https://investors.ups.com/news-events/press-releases?page=4,"UPS reported Q2 2024 operating profit down sharply year over year and updated full-year revenue and adjusted operating-margin guidance.","A broad earnings and margin reset for a global logistics bellwether materially changed the forward profit path.",PREMARKET_1000_ET,2024-07-23 10:00:00 EDT,VERIFIED_PRIMARY_WITH_TIME,PENDING_QC_LIQUIDITY_AND_DUPLICATE_AUDIT,,false
E4-SBUX-20240813,Starbucks,SBUX,E4_Product_Commercialization_Strategic,Consumer Discretionary,2024-08-13 08:05:00 EDT,PREMARKET,https://investor.starbucks.com/news/financial-releases/news-details/2024/Starbucks-names-Brian-Niccol-as-Chairman-and-Chief-Executive-Officer/default.aspx,https://www.nasdaq.com/press-release/starbucks-names-brian-niccol-chairman-and-chief-executive-officer-2024-08-13,"Starbucks appointed Brian Niccol chairman and CEO, with the incumbent CEO stepping down immediately and the CFO serving as interim CEO until Niccol's start date.","A top-level leadership change at a company facing operating and traffic challenges materially altered strategic execution expectations.",PREMARKET_1000_ET,2024-08-13 10:00:00 EDT,VERIFIED_PRIMARY_PLUS_BUSINESSWIRE_TIME,PENDING_QC_LIQUIDITY_AND_DUPLICATE_AUDIT,,false
E4-PYPL-20230814,PayPal Holdings,PYPL,E4_Product_Commercialization_Strategic,Financials,2023-08-14 09:20:00 EDT,PREMARKET,https://newsroom.paypal-corp.com/2023-08-14-PayPal-Names-Alex-Chriss-as-Next-President-and-CEO,https://www.prnewswire.com/news-releases/paypal-names-alex-chriss-as-next-president-and-ceo-301899740.html,"PayPal appointed Intuit executive Alex Chriss as its next president and CEO following a board-led search.","CEO succession at a mature payments platform with a changing growth and margin profile materially altered expectations for strategy and execution.",PREMARKET_1000_ET,2023-08-14 10:00:00 EDT,VERIFIED_PRIMARY_PLUS_PRNEWSWIRE_TIME,PENDING_QC_LIQUIDITY_AND_DUPLICATE_AUDIT,,false
E4-XOM-20220131,Exxon Mobil,XOM,E4_Product_Commercialization_Strategic,Energy,2022-01-31 12:00:00 EST,REGULAR_SESSION,https://corporate.exxonmobil.com/news/news-releases/2022/0131_exxonmobil-streamlines-structure-to-enhance-effectiveness-grow-value-reduce-costs,https://investor.exxonmobil.com/company-information/press-releases?page=12,"ExxonMobil announced a streamlined structure combining chemical and downstream businesses, centralizing technology and support services, and relocating corporate headquarters.","The company-wide operating-model change affected cost structure, integration and capital-allocation execution across a global energy major.",REGULAR_EVENT_PLUS_30_MINUTES,2022-01-31 12:30:00 EST,VERIFIED_PRIMARY_IR_ARCHIVE_TIME,PENDING_QC_LIQUIDITY_AND_DUPLICATE_AUDIT,,false
E4-F-20220302,Ford Motor,F,E4_Product_Commercialization_Strategic,Consumer Discretionary,2022-03-02 07:00:00 EST,PREMARKET,https://media.ford.com/content/fordmedia/feu/de/en/news/2022/03/02/ford-accelerating-transformation.html,https://www.nasdaq.com/press-release/ford-accelerating-transformation%3A-forming-distinct-auto-units-to-scale-evs-strengthen,"Ford announced distinct Ford Model e and Ford Blue business units for electric and internal-combustion vehicles, with discrete P&Ls and shared capabilities.","A major operating-model and capital-allocation reorganization changed how investors could underwrite the EV transition and legacy business economics.",PREMARKET_1000_ET,2022-03-02 10:00:00 EST,VERIFIED_PRIMARY_PLUS_WIRE_TIME,PENDING_QC_LIQUIDITY_AND_DUPLICATE_AUDIT,,false
E4-C-20230913,Citigroup,C,E4_Product_Commercialization_Strategic,Financials,2023-09-13 09:03:00 EDT,PREMARKET,https://www.citigroup.com/global/news/press-release/2023/citi-aligns-organizational-structure-strategy-simplifies-operating-model,https://www.streetinsider.com/Business%2BWire/Citi%2BAligns%2BOrganizational%2BStructure%2BWith%2BIts%2BStrategy%2Band%2BSimplifies%2BOperating%2BModel/22156663.html,"Citi announced a flatter operating model centered on five businesses reporting directly to the CEO, removing management layers and changing geographic and client organization.","The reorganization directly targeted cost, accountability and strategic execution at a globally systemic bank.",PREMARKET_1000_ET,2023-09-13 10:00:00 EDT,VERIFIED_PRIMARY_PLUS_BUSINESSWIRE_TIME,PENDING_QC_LIQUIDITY_AND_DUPLICATE_AUDIT,,false
E4-SO-20230731,Southern Company,SO,E4_Product_Commercialization_Strategic,Utilities,2023-07-31 07:05:00 EDT,PREMARKET,https://southerncompany.mediaroom.com/2023-07-31-Vogtle-Unit-3-goes-into-operation,https://www.prnewswire.com/news-releases/vogtle-unit-3-goes-into-operation-301889148.html,"Georgia Power declared Vogtle Unit 3 in commercial operation, the first newly constructed U.S. nuclear unit in more than three decades.","Commercial operation converted a long-duration, capital-intensive construction project into an operating regulated generation asset with direct rate-base and cash-flow implications.",PREMARKET_1000_ET,2023-07-31 10:00:00 EDT,VERIFIED_PRIMARY_PLUS_PRNEWSWIRE_TIME,PENDING_QC_LIQUIDITY_AND_DUPLICATE_AUDIT,,false
E4-BA-20240325,Boeing,BA,E4_Product_Commercialization_Strategic,Industrials,2024-03-25 08:00:00 EDT,PREMARKET,https://boeing.mediaroom.com/2024-03-25-Boeing-Announces-Board-and-Management-Changes,https://www.prnewswire.com/news-releases/boeing-announces-board-and-management-changes-302098108.html,"Boeing announced CEO Dave Calhoun would step down at year-end, the board chair would transition, and the Commercial Airplanes CEO would retire immediately with Stephanie Pope taking the role.","A multi-level leadership reset during a safety and production crisis materially changed governance and execution expectations.",PREMARKET_1000_ET,2024-03-25 10:00:00 EDT,VERIFIED_PRIMARY_PLUS_PRNEWSWIRE_TIME,PENDING_QC_LIQUIDITY_AND_DUPLICATE_AUDIT,,false
E4-FDX-20230405,FedEx,FDX,E4_Product_Commercialization_Strategic,Industrials,2023-04-05 07:30:00 EDT,PREMARKET,https://investors.fedex.com/news-and-events/investor-news/investor-news-details/2023/FedEx-Announces-Planned-Consolidation-of-Operating-Companies/default.aspx,https://www.nasdaq.com/press-release/fedex-announces-planned-consolidation-of-operating-companies-2023-04-05,"FedEx announced consolidation of Express, Ground, Services and other operating companies into Federal Express Corporation and reiterated a transformation plan targeting large structural cost reductions.","The operating-company consolidation materially changed network economics, cost structure and execution of the DRIVE transformation.",PREMARKET_1000_ET,2023-04-05 10:00:00 EDT,VERIFIED_PRIMARY_PLUS_BUSINESSWIRE_TIME,PENDING_QC_LIQUIDITY_AND_DUPLICATE_AUDIT,,false
